task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
49	2b/d481d6	718154	fastsurfer (49)	COMPLETED	0	2025-10-27 03:08:51.691	1h 49m 25s	1h 49m 25s	1064.8%	12.9 GB	525.6 GB	3.8 GB	444.9 MB
319	e9/a48117	1839261	nifti_converter (46)	COMPLETED	0	2025-10-27 04:58:16.960	1.6s	992ms	101.5%	13.5 MB	62.4 MB	7.1 MB	80 MB
320	43/263ef6	1840319	roi_creator (46)	COMPLETED	0	2025-10-27 04:58:19.559	2m 6s	2m 5s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
54	6e/a6d85c	790869	fastsurfer (54)	COMPLETED	0	2025-10-27 03:11:44.277	1h 49m 45s	1h 49m 44s	977.6%	13 GB	525.7 GB	3.8 GB	439.1 MB
321	fb/085161	1912293	nifti_converter (47)	COMPLETED	0	2025-10-27 05:01:28.890	1.7s	1s	100.5%	10.5 MB	62.4 MB	7.5 MB	80 MB
322	60/da264b	1913440	roi_creator (47)	COMPLETED	0	2025-10-27 05:01:31.567	2m 18s	2m 18s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
4	c3/62fdca	924142	fastsurfer (4)	COMPLETED	0	2025-10-27 03:15:35.067	1h 48m 48s	1h 48m 47s	1148.8%	12.9 GB	525.6 GB	3.7 GB	427.3 MB
323	40/c93871	1989468	nifti_converter (48)	COMPLETED	0	2025-10-27 05:04:22.811	1.6s	1.1s	99.5%	73.5 MB	112 MB	7.6 MB	80 MB
324	c4/31ab6b	1991001	roi_creator (48)	COMPLETED	0	2025-10-27 05:04:25.465	2m 12s	2m 11s	100.3%	198.8 MB	307.9 MB	4.9 GB	10.3 MB
65	ec/b6a678	983975	fastsurfer (65)	COMPLETED	0	2025-10-27 03:16:31.895	1h 50m 26s	1h 50m 26s	1165.0%	12.5 GB	525 GB	3.7 GB	431.4 MB
